SPC,Common_Name,flen_min,flen_max,tlen_min,tlen_max,rwt_min,rwt_max,k_min_error,k_min_warn,k_max_warn,k_max_error,k_tl_mean,intercept_fltl,slope_fltl,int_fltl_old,slope_fltl_old
065,Blueback Herring,23,260,26,300,0.1,299,0.22,0.37,1.67,1.87,0.82,-2.35598,1.16126,,
066,Skipjack Herring,26,552,30,580,0.9,2325,0.52,0.66,2.33,2.55,1.11,1.15856,1.13632,,
07X,"Trouts, Whitefish, Grayling",8,954,9,1020,0.1,12939,0.11,0.29,2.34,2.57,,9.17283,1.07284,,
070,Salmon and Trout Subfamily,24,954,29,1020,0.2,12939,0.32,0.50,2.34,2.57,,4.60498,1.07898,5.49245,1.07083
071,Pink Salmon,100,559,115,607,14,2272,0.36,0.5,1.73,1.9,0.92,7.13505,1.07876,17.57392,1.05696
072,Chum Salmon,28,790,29,849,0.23,8800,0.45,0.6,1.94,2.14,,3.58008,1.06959,,
073,Coho Salmon,28,790,29,849,0.23,8800,0.45,0.6,1.94,2.14,1.05,3.58008,1.06959,17.94099,1.04486
074,Sockeye Salmon,100,559,115,607,14,2272,0.36,0.5,1.73,1.9,,7.13505,1.07876,,
075,Chinook Salmon,29,942,34,994,0.22,12598,0.46,0.6,1.83,2.01,1.01,2.8516,1.08415,4.96387,1.08165
076,Rainbow Trout,28,869,31,900,0.4,8141,0.32,0.53,1.98,2.21,1.15,7.14095,1.02719,7.25165,1.02817
077,Atlantic Salmon,67,751,87,802,3,5000,0.44,0.57,1.68,1.85,1.12,15.67977,1.03375,17.09812,1.0393
078,Brown Trout,24,860,35,882,0.2,10659,0.54,0.77,2.34,2.57,1.45,11.99876,1.00919,10.33529,1.01513
079,Arctic Char,105,954,115,1020,12,12939,0.38,0.52,1.82,2,,6.99357,1.07702,,
080,Brook Trout,35,557,37,580,1,2600,0.76,0.86,1.61,1.71,1.15,3.67524,1.03105,-1.30488,1.07804
081,Lake Trout,105,954,115,1020,12,12939,0.38,0.52,1.82,2,0.94,6.99357,1.07702,0.92468,1.08501
082,Splake,133,657,142,697,22,3538,0.54,0.71,1.78,1.97,1.23,6.71989,1.0499,-1.30488,1.07804
083,Aurora Trout,35,557,37,580,1,2600,0.76,0.86,1.61,1.71,,3.67524,1.03105,-2.94441,1.09098
084,Oncorhynchus sp.,28,942,29,994,0.22,12598,0.32,0.50,1.98,2.21,,9.63418,1.03848,,
085,Salmo sp.,24,860,35,882,0.2,10659,0.54,0.77,2.34,2.57,,12.17709,1.00915,10.33529,1.01513
086,Salvelinus sp.,35,954,37,1020,1,12939,0.38,0.52,1.82,2,,1.03779,1.085,-3.00329,1.08793
087,Lake Trout Backcross,138,823,147,894,20,7450,0.36,0.53,1.91,2.12,1.03,-1.60773,1.07936,31.43763,1.03055
090,Whitefish Subfamily,8,750,9,830,0.1,5422,0.11,0.29,1.89,2.13,0.82,3.09082,1.10048,4.7645,1.09095
091,Lake Whitefish,9,750,10,830,0.1,5422,0.36,0.48,1.69,1.86,0.85,3.83189,1.10289,5.23207,
092,Longjaw Cisco,100,355,117,394,13,515,0.23,0.37,1.72,1.92,,8.99446,1.08044,,
